station_identifier,date,observation_type,observation_value
ITE00100550,18640101,TMAX,1.0
ITE00100550,18640101,TMIN,-2.3
ITE00100550,18640101,PRCP,2.5
ASN00079028,18640101,PRCP,0.0
USC00064757,18640101,PRCP,11.9
SF000208660,18640101,PRCP,0.0
ASN00089000,18640101,PRCP,0.0
SWE00100003,18640101,PRCP,0.0
ASN00086071,18640101,TMAX,21.4
ASN00086071,18640101,TMIN,10.1
ASN00086071,18640101,PRCP,0.0
USP00CA0003,18640101,PRCP,0.0
USC00189674,18640101,PRCP,0.0
USC00144559,18640101,PRCP,0.0
USC00144559,18640101,SNOW,0.0
CA006158350,18640101,TMAX,1.1
CA006158350,18640101,TMIN,-13.3
CA006158350,18640101,PRCP,0.5
CA006158350,18640101,SNOW,0.5
HRE00105189,18640101,PRCP,18.9
ASN00067054,18640101,PRCP,6.1
ASN00081003,18640101,PRCP,0.0
ASN00078037,18640101,PRCP,0.0
ASN00070037,18640101,PRCP,0.0
EIE00101859,18640101,TMAX,9.4
EIE00101859,18640101,TMIN,1.1
EIE00101859,18640101,PRCP,8.2
ASN00040214,18640101,PRCP,0.3
BE000006447,18640101,TMAX,-2.3
BE000006447,18640101,TMIN,-3.6
AGE00135039,18640101,PRCP,0.0
USC00047738,18640101,PRCP,0.0
ASN00026020,18640101,PRCP,0.0
NLM00006235,18640101,PRCP,0.0
GME00125218,18640101,TMAX,-8.1
GME00125218,18640101,TMIN,-10.0
GME00125218,18640101,PRCP,0.0
GME00125218,18640101,SNWD,5.0
NLE00100499,18640101,PRCP,0.0
EZE00100082,18640101,TMAX,-9.2
EZE00100082,18640101,TMIN,-13.3
EZE00100082,18640101,PRCP,0.0
ITE00100554,18640101,TMAX,1.7
ITE00100554,18640101,TMIN,-0.6
ITE00100554,18640101,PRCP,9.1
USC00361920,18640101,PRCP,0.0
ASN00056002,18640101,PRCP,5.8
ASN00066062,18640101,TMAX,24.4
ASN00066062,18640101,TMIN,18.9
ASN00066062,18640101,PRCP,5.3
ASN00023000,18640101,PRCP,0.0
ASN00072001,18640101,PRCP,7.1
SW000010537,18640101,PRCP,0.0
AU000005901,18640101,TMAX,-5.0
AU000005901,18640101,TMIN,-10.5
GM000004204,18640101,TMAX,-6.8
GM000004204,18640101,TMIN,-11.5
GM000004204,18640101,PRCP,0.1
ASN00061055,18640101,PRCP,40.6
UK000047811,18640101,TMAX,5.9
UK000047811,18640101,TMIN,0.6
UK000047811,18640101,PRCP,0.8
HR000142360,18640101,PRCP,6.8
ASN00084016,18640101,PRCP,0.0
ITE00100553,18640101,PRCP,0.0
ITE00100552,18640101,PRCP,9.0
ITE00105250,18640101,PRCP,0.5
UK000056225,18640101,TMAX,0.5
UK000056225,18640101,TMIN,-5.2
UK000056225,18640101,PRCP,0.0
ASN00026026,18640101,PRCP,0.0
ASN00089049,18640101,PRCP,0.0
SZ000006717,18640101,TMAX,-8.2
