station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100550,1867-01-01,TMAX,6.0,42.8,1,ITE
SZ000006717,1867-01-01,TMAX,-8.2,17.240000000000002,1,SZ
UK000056225,1867-01-01,TMAX,-0.7,30.74,1,UK
ASN00090015,1867-01-01,TMAX,36.7,98.06,1,ASN
CA006137735,1867-01-01,TMAX,-1.7,28.94,1,CA
ASN00074128,1867-01-01,TMAX,40.6,105.08,1,ASN
CA006122845,1867-01-01,TMAX,-3.3,26.060000000000002,1,CA
UK000047811,1867-01-01,TMAX,1.1,33.98,1,UK
GM000004204,1867-01-01,TMAX,3.0,37.4,1,GM
AU000005901,1867-01-01,TMAX,4.1,39.38,1,AU
ASN00066062,1867-01-01,TMAX,28.6,83.48,1,ASN
ITE00100554,1867-01-01,TMAX,4.8,40.64,1,ITE
USC00288878,1867-01-01,TMAX,1.7,35.06,1,USC
CA006166416,1867-01-01,TMAX,-5.0,23.0,1,CA
CA006106362,1867-01-01,TMAX,-5.6,21.92,1,CA
ASN00086071,1867-01-01,TMAX,35.5,95.9,1,ASN
CA006158350,1867-01-01,TMAX,-2.8,26.96,1,CA
CA006153192,1867-01-01,TMAX,-1.7,28.94,1,CA
EIE00101859,1867-01-01,TMAX,3.9,39.019999999999996,1,EIE
CA006150689,1867-01-01,TMAX,-1.7,28.94,1,CA
CA006110549,1867-01-01,TMAX,-2.2,28.04,1,CA
BE000006447,1867-01-01,TMAX,1.8,35.24,1,BE
GME00125218,1867-01-01,TMAX,2.4,36.32,1,GME
EZE00100082,1867-01-01,TMAX,3.0,37.4,1,EZE
CA006139520,1867-01-01,TMAX,-6.1,21.02,1,CA
ASN00066062,1867-01-02,TMAX,30.3,86.53999999999999,1,ASN
AU000005901,1867-01-02,TMAX,2.8,37.04,1,AU
GM000004204,1867-01-02,TMAX,0.9,33.62,1,GM
UK000047811,1867-01-02,TMAX,-2.8,26.96,1,UK
USC00288878,1867-01-02,TMAX,1.7,35.06,1,USC
CA006137735,1867-01-02,TMAX,-5.0,23.0,1,CA
ASN00074128,1867-01-02,TMAX,42.8,109.03999999999999,1,ASN
ASN00090015,1867-01-02,TMAX,26.7,80.06,1,ASN
UK000056225,1867-01-02,TMAX,-1.0,30.2,1,UK
SZ000006717,1867-01-02,TMAX,-10.0,14.0,1,SZ
CA006122845,1867-01-02,TMAX,-3.3,26.060000000000002,1,CA
ITE00100554,1867-01-02,TMAX,3.4,38.12,1,ITE
EIE00101859,1867-01-02,TMAX,1.1,33.98,1,EIE
CA006166416,1867-01-02,TMAX,-7.2,19.04,1,CA
CA006106362,1867-01-02,TMAX,-2.8,26.96,1,CA
CA006150689,1867-01-02,TMAX,-4.4,24.08,1,CA
