station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100554,1766-01-01,TMAX,-2.6,27.32,1,ITE
ITE00100554,1766-01-02,TMAX,-0.9,30.38,1,ITE
ITE00100554,1766-01-03,TMAX,0.1,32.18,1,ITE
ITE00100554,1766-01-04,TMAX,1.5,34.7,1,ITE
ITE00100554,1766-01-05,TMAX,0.6,33.08,1,ITE
ITE00100554,1766-01-06,TMAX,0.3,32.54,1,ITE
ITE00100554,1766-01-07,TMAX,-0.7,30.74,1,ITE
ITE00100554,1766-01-08,TMAX,-4.7,23.54,1,ITE
ITE00100554,1766-01-09,TMAX,-4.3,24.259999999999998,1,ITE
ITE00100554,1766-01-10,TMAX,-2.8,26.96,1,ITE
ITE00100554,1766-01-11,TMAX,-3.1,26.42,1,ITE
ITE00100554,1766-01-12,TMAX,-1.9,28.58,1,ITE
ITE00100554,1766-01-13,TMAX,-3.9,24.98,1,ITE
ITE00100554,1766-01-14,TMAX,-3.4,25.88,1,ITE
ITE00100554,1766-01-15,TMAX,-2.9,26.78,1,ITE
ITE00100554,1766-01-16,TMAX,-1.8,28.759999999999998,1,ITE
ITE00100554,1766-01-17,TMAX,-2.0,28.4,1,ITE
ITE00100554,1766-01-18,TMAX,-1.5,29.3,1,ITE
ITE00100554,1766-01-19,TMAX,0.4,32.72,1,ITE
ITE00100554,1766-01-20,TMAX,0.6,33.08,1,ITE
ITE00100554,1766-01-21,TMAX,-1.2,29.84,1,ITE
ITE00100554,1766-01-22,TMAX,-0.5,31.1,1,ITE
ITE00100554,1766-01-23,TMAX,-1.1,30.02,1,ITE
ITE00100554,1766-01-24,TMAX,0.1,32.18,1,ITE
ITE00100554,1766-01-25,TMAX,-1.1,30.02,1,ITE
ITE00100554,1766-01-26,TMAX,-0.4,31.28,1,ITE
ITE00100554,1766-01-27,TMAX,0.0,32.0,1,ITE
ITE00100554,1766-01-28,TMAX,2.7,36.86,1,ITE
ITE00100554,1766-01-29,TMAX,3.0,37.4,1,ITE
ITE00100554,1766-01-30,TMAX,2.1,35.78,1,ITE
ITE00100554,1766-01-31,TMAX,1.9,35.42,1,ITE
ITE00100554,1766-02-01,TMAX,2.3,36.14,2,ITE
ITE00100554,1766-02-02,TMAX,1.1,33.98,2,ITE
ITE00100554,1766-02-03,TMAX,0.6,33.08,2,ITE
ITE00100554,1766-02-04,TMAX,1.7,35.06,2,ITE
ITE00100554,1766-02-05,TMAX,2.1,35.78,2,ITE
ITE00100554,1766-02-06,TMAX,3.3,37.94,2,ITE
ITE00100554,1766-02-07,TMAX,3.0,37.4,2,ITE
ITE00100554,1766-02-08,TMAX,1.1,33.98,2,ITE
ITE00100554,1766-02-09,TMAX,2.5,36.5,2,ITE
ITE00100554,1766-02-10,TMAX,2.2,35.96,2,ITE
ITE00100554,1766-02-11,TMAX,-0.1,31.82,2,ITE
ITE00100554,1766-02-12,TMAX,-1.1,30.02,2,ITE
ITE00100554,1766-02-13,TMAX,3.0,37.4,2,ITE
ITE00100554,1766-02-14,TMAX,3.2,37.76,2,ITE
ITE00100554,1766-02-15,TMAX,3.2,37.76,2,ITE
ITE00100554,1766-02-16,TMAX,4.1,39.38,2,ITE
ITE00100554,1766-02-17,TMAX,5.0,41.0,2,ITE
ITE00100554,1766-02-18,TMAX,4.9,40.82,2,ITE
ITE00100554,1766-02-19,TMAX,3.7,38.66,2,ITE
ITE00100554,1766-02-20,TMAX,6.0,42.8,2,ITE
ITE00100554,1766-02-21,TMAX,4.9,40.82,2,ITE
ITE00100554,1766-02-22,TMAX,4.3,39.74,2,ITE
ITE00100554,1766-02-23,TMAX,4.4,39.92,2,ITE
ITE00100554,1766-02-24,TMAX,5.6,42.08,2,ITE
ITE00100554,1766-02-25,TMAX,6.9,44.42,2,ITE
ITE00100554,1766-02-26,TMAX,6.8,44.24,2,ITE
ITE00100554,1766-02-27,TMAX,7.5,45.5,2,ITE
ITE00100554,1766-02-28,TMAX,6.2,43.16,2,ITE
ITE00100554,1766-03-01,TMAX,9.5,49.1,3,ITE
ITE00100554,1766-03-02,TMAX,7.7,45.86,3,ITE
ITE00100554,1766-03-03,TMAX,7.7,45.86,3,ITE
ITE00100554,1766-03-04,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1766-03-05,TMAX,11.8,53.24,3,ITE
ITE00100554,1766-03-06,TMAX,11.9,53.42,3,ITE
ITE00100554,1766-03-07,TMAX,12.1,53.78,3,ITE
ITE00100554,1766-03-08,TMAX,12.0,53.6,3,ITE
ITE00100554,1766-03-09,TMAX,10.9,51.620000000000005,3,ITE
ITE00100554,1766-03-10,TMAX,11.2,52.16,3,ITE
ITE00100554,1766-03-11,TMAX,11.5,52.7,3,ITE
ITE00100554,1766-03-12,TMAX,12.2,53.96,3,ITE
ITE00100554,1766-03-13,TMAX,12.7,54.86,3,ITE
ITE00100554,1766-03-14,TMAX,13.2,55.76,3,ITE
ITE00100554,1766-03-15,TMAX,13.3,55.94,3,ITE
ITE00100554,1766-03-16,TMAX,13.2,55.76,3,ITE
ITE00100554,1766-03-17,TMAX,12.7,54.86,3,ITE
ITE00100554,1766-03-18,TMAX,12.7,54.86,3,ITE
ITE00100554,1766-03-19,TMAX,14.1,57.379999999999995,3,ITE
ITE00100554,1766-03-20,TMAX,7.2,44.96,3,ITE
ITE00100554,1766-03-21,TMAX,7.6,45.68,3,ITE
ITE00100554,1766-03-22,TMAX,10.8,51.44,3,ITE
ITE00100554,1766-03-23,TMAX,11.6,52.879999999999995,3,ITE
ITE00100554,1766-03-24,TMAX,8.8,47.84,3,ITE
ITE00100554,1766-03-25,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1766-03-26,TMAX,8.1,46.58,3,ITE
ITE00100554,1766-03-27,TMAX,10.0,50.0,3,ITE
ITE00100554,1766-03-28,TMAX,10.9,51.620000000000005,3,ITE
ITE00100554,1766-03-29,TMAX,9.6,49.28,3,ITE
ITE00100554,1766-03-30,TMAX,8.8,47.84,3,ITE
ITE00100554,1766-03-31,TMAX,9.8,49.64,3,ITE
ITE00100554,1766-04-01,TMAX,13.3,55.94,4,ITE
ITE00100554,1766-04-02,TMAX,13.8,56.84,4,ITE
ITE00100554,1766-04-03,TMAX,12.7,54.86,4,ITE
ITE00100554,1766-04-04,TMAX,14.6,58.28,4,ITE
ITE00100554,1766-04-05,TMAX,15.5,59.900000000000006,4,ITE
ITE00100554,1766-04-06,TMAX,16.3,61.34,4,ITE
ITE00100554,1766-04-07,TMAX,16.5,61.7,4,ITE
ITE00100554,1766-04-08,TMAX,17.0,62.6,4,ITE
ITE00100554,1766-04-09,TMAX,13.7,56.66,4,ITE
ITE00100554,1766-04-10,TMAX,14.3,57.74,4,ITE
ITE00100554,1766-04-11,TMAX,13.8,56.84,4,ITE
ITE00100554,1766-04-12,TMAX,14.8,58.64,4,ITE
ITE00100554,1766-04-13,TMAX,15.6,60.08,4,ITE
ITE00100554,1766-04-14,TMAX,15.9,60.620000000000005,4,ITE
ITE00100554,1766-04-15,TMAX,16.4,61.519999999999996,4,ITE
ITE00100554,1766-04-16,TMAX,16.8,62.24,4,ITE
ITE00100554,1766-04-17,TMAX,13.7,56.66,4,ITE
ITE00100554,1766-04-18,TMAX,15.4,59.72,4,ITE
ITE00100554,1766-04-19,TMAX,15.7,60.26,4,ITE
ITE00100554,1766-04-20,TMAX,16.8,62.24,4,ITE
ITE00100554,1766-04-21,TMAX,16.6,61.88,4,ITE
ITE00100554,1766-04-22,TMAX,17.2,62.96,4,ITE
ITE00100554,1766-04-23,TMAX,15.4,59.72,4,ITE
ITE00100554,1766-04-24,TMAX,14.5,58.1,4,ITE
ITE00100554,1766-04-25,TMAX,15.4,59.72,4,ITE
ITE00100554,1766-04-26,TMAX,16.6,61.88,4,ITE
ITE00100554,1766-04-27,TMAX,16.4,61.519999999999996,4,ITE
ITE00100554,1766-04-28,TMAX,19.2,66.56,4,ITE
ITE00100554,1766-04-29,TMAX,20.0,68.0,4,ITE
ITE00100554,1766-04-30,TMAX,20.1,68.18,4,ITE
ITE00100554,1766-05-01,TMAX,17.8,64.03999999999999,5,ITE
ITE00100554,1766-05-02,TMAX,19.2,66.56,5,ITE
ITE00100554,1766-05-03,TMAX,19.7,67.46000000000001,5,ITE
ITE00100554,1766-05-04,TMAX,19.8,67.64,5,ITE
ITE00100554,1766-05-05,TMAX,19.7,67.46000000000001,5,ITE
ITE00100554,1766-05-06,TMAX,20.8,69.44,5,ITE
ITE00100554,1766-05-07,TMAX,22.3,72.14,5,ITE
ITE00100554,1766-05-08,TMAX,22.9,73.22,5,ITE
ITE00100554,1766-05-09,TMAX,22.3,72.14,5,ITE
ITE00100554,1766-05-10,TMAX,19.4,66.92,5,ITE
ITE00100554,1766-05-11,TMAX,20.9,69.62,5,ITE
ITE00100554,1766-05-12,TMAX,21.2,70.16,5,ITE
ITE00100554,1766-05-13,TMAX,16.2,61.16,5,ITE
ITE00100554,1766-05-14,TMAX,14.9,58.82,5,ITE
ITE00100554,1766-05-15,TMAX,15.7,60.26,5,ITE
ITE00100554,1766-05-16,TMAX,18.3,64.94,5,ITE
ITE00100554,1766-05-17,TMAX,19.7,67.46000000000001,5,ITE
ITE00100554,1766-05-18,TMAX,20.3,68.53999999999999,5,ITE
ITE00100554,1766-05-19,TMAX,18.9,66.02,5,ITE
ITE00100554,1766-05-20,TMAX,20.2,68.36,5,ITE
ITE00100554,1766-05-21,TMAX,21.6,70.88,5,ITE
ITE00100554,1766-05-22,TMAX,21.9,71.42,5,ITE
ITE00100554,1766-05-23,TMAX,18.7,65.66,5,ITE
ITE00100554,1766-05-24,TMAX,21.8,71.24000000000001,5,ITE
ITE00100554,1766-05-25,TMAX,22.5,72.5,5,ITE
ITE00100554,1766-05-26,TMAX,22.2,71.96000000000001,5,ITE
ITE00100554,1766-05-27,TMAX,24.1,75.38,5,ITE
ITE00100554,1766-05-28,TMAX,24.1,75.38,5,ITE
ITE00100554,1766-05-29,TMAX,19.1,66.38,5,ITE
ITE00100554,1766-05-30,TMAX,17.9,64.22,5,ITE
ITE00100554,1766-05-31,TMAX,17.5,63.5,5,ITE
ITE00100554,1766-06-01,TMAX,17.9,64.22,6,ITE
ITE00100554,1766-06-02,TMAX,23.5,74.30000000000001,6,ITE
ITE00100554,1766-06-03,TMAX,23.5,74.30000000000001,6,ITE
ITE00100554,1766-06-04,TMAX,25.8,78.44,6,ITE
ITE00100554,1766-06-05,TMAX,25.6,78.08000000000001,6,ITE
ITE00100554,1766-06-06,TMAX,25.8,78.44,6,ITE
ITE00100554,1766-06-07,TMAX,24.3,75.74000000000001,6,ITE
ITE00100554,1766-06-08,TMAX,24.8,76.64,6,ITE
ITE00100554,1766-06-09,TMAX,27.5,81.5,6,ITE
ITE00100554,1766-06-10,TMAX,27.0,80.6,6,ITE
ITE00100554,1766-06-11,TMAX,25.0,77.0,6,ITE
ITE00100554,1766-06-12,TMAX,25.7,78.25999999999999,6,ITE
ITE00100554,1766-06-13,TMAX,25.9,78.62,6,ITE
ITE00100554,1766-06-14,TMAX,24.6,76.28,6,ITE
ITE00100554,1766-06-15,TMAX,26.2,79.16,6,ITE
ITE00100554,1766-06-16,TMAX,26.0,78.80000000000001,6,ITE
ITE00100554,1766-06-17,TMAX,26.9,80.42,6,ITE
ITE00100554,1766-06-18,TMAX,26.9,80.42,6,ITE
ITE00100554,1766-06-19,TMAX,27.0,80.6,6,ITE
ITE00100554,1766-06-20,TMAX,26.7,80.06,6,ITE
ITE00100554,1766-06-21,TMAX,26.9,80.42,6,ITE
ITE00100554,1766-06-22,TMAX,28.1,82.58000000000001,6,ITE
ITE00100554,1766-06-23,TMAX,28.1,82.58000000000001,6,ITE
ITE00100554,1766-06-24,TMAX,27.0,80.6,6,ITE
ITE00100554,1766-06-25,TMAX,26.1,78.98,6,ITE
ITE00100554,1766-06-26,TMAX,25.6,78.08000000000001,6,ITE
ITE00100554,1766-06-27,TMAX,23.1,73.58000000000001,6,ITE
ITE00100554,1766-06-28,TMAX,25.0,77.0,6,ITE
ITE00100554,1766-06-29,TMAX,28.0,82.4,6,ITE
ITE00100554,1766-06-30,TMAX,26.9,80.42,6,ITE
ITE00100554,1766-07-01,TMAX,27.7,81.86,7,ITE
ITE00100554,1766-07-02,TMAX,25.5,77.9,7,ITE
ITE00100554,1766-07-03,TMAX,20.5,68.9,7,ITE
ITE00100554,1766-07-04,TMAX,25.1,77.18,7,ITE
ITE00100554,1766-07-05,TMAX,26.5,79.7,7,ITE
