station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100554,1770-01-01,TMAX,-0.4,31.28,1,ITE
ITE00100554,1770-01-02,TMAX,4.0,39.2,1,ITE
ITE00100554,1770-01-03,TMAX,1.0,33.8,1,ITE
ITE00100554,1770-01-04,TMAX,1.2,34.16,1,ITE
ITE00100554,1770-01-05,TMAX,0.7,33.26,1,ITE
ITE00100554,1770-01-06,TMAX,1.6,34.88,1,ITE
ITE00100554,1770-01-07,TMAX,-0.5,31.1,1,ITE
ITE00100554,1770-01-08,TMAX,-0.6,30.92,1,ITE
ITE00100554,1770-01-09,TMAX,-1.5,29.3,1,ITE
ITE00100554,1770-01-10,TMAX,-1.8,28.759999999999998,1,ITE
ITE00100554,1770-01-11,TMAX,0.2,32.36,1,ITE
ITE00100554,1770-01-12,TMAX,1.3,34.34,1,ITE
ITE00100554,1770-01-13,TMAX,-0.2,31.64,1,ITE
ITE00100554,1770-01-14,TMAX,0.8,33.44,1,ITE
ITE00100554,1770-01-15,TMAX,-0.6,30.92,1,ITE
ITE00100554,1770-01-16,TMAX,-0.8,30.56,1,ITE
ITE00100554,1770-01-17,TMAX,0.2,32.36,1,ITE
ITE00100554,1770-01-18,TMAX,3.9,39.019999999999996,1,ITE
ITE00100554,1770-01-19,TMAX,0.9,33.62,1,ITE
ITE00100554,1770-01-20,TMAX,3.0,37.4,1,ITE
ITE00100554,1770-01-21,TMAX,1.5,34.7,1,ITE
ITE00100554,1770-01-22,TMAX,3.2,37.76,1,ITE
ITE00100554,1770-01-23,TMAX,1.0,33.8,1,ITE
ITE00100554,1770-01-24,TMAX,4.1,39.38,1,ITE
ITE00100554,1770-01-25,TMAX,4.1,39.38,1,ITE
ITE00100554,1770-01-26,TMAX,4.0,39.2,1,ITE
ITE00100554,1770-01-27,TMAX,4.0,39.2,1,ITE
ITE00100554,1770-01-28,TMAX,2.3,36.14,1,ITE
ITE00100554,1770-01-29,TMAX,4.0,39.2,1,ITE
ITE00100554,1770-01-30,TMAX,4.7,40.46,1,ITE
ITE00100554,1770-01-31,TMAX,5.0,41.0,1,ITE
ITE00100554,1770-02-01,TMAX,7.2,44.96,2,ITE
ITE00100554,1770-02-02,TMAX,6.6,43.879999999999995,2,ITE
ITE00100554,1770-02-03,TMAX,6.1,42.980000000000004,2,ITE
ITE00100554,1770-02-04,TMAX,6.2,43.16,2,ITE
ITE00100554,1770-02-05,TMAX,7.2,44.96,2,ITE
ITE00100554,1770-02-06,TMAX,7.2,44.96,2,ITE
ITE00100554,1770-02-07,TMAX,8.4,47.120000000000005,2,ITE
ITE00100554,1770-02-08,TMAX,3.6,38.480000000000004,2,ITE
ITE00100554,1770-02-09,TMAX,5.0,41.0,2,ITE
ITE00100554,1770-02-10,TMAX,3.4,38.12,2,ITE
ITE00100554,1770-02-11,TMAX,5.8,42.44,2,ITE
ITE00100554,1770-02-12,TMAX,7.0,44.6,2,ITE
ITE00100554,1770-02-13,TMAX,8.4,47.120000000000005,2,ITE
ITE00100554,1770-02-14,TMAX,7.6,45.68,2,ITE
ITE00100554,1770-02-15,TMAX,8.2,46.76,2,ITE
ITE00100554,1770-02-16,TMAX,6.2,43.16,2,ITE
ITE00100554,1770-02-17,TMAX,8.7,47.66,2,ITE
ITE00100554,1770-02-18,TMAX,9.6,49.28,2,ITE
ITE00100554,1770-02-19,TMAX,10.8,51.44,2,ITE
ITE00100554,1770-02-20,TMAX,10.2,50.36,2,ITE
ITE00100554,1770-02-21,TMAX,8.1,46.58,2,ITE
ITE00100554,1770-02-22,TMAX,7.9,46.22,2,ITE
ITE00100554,1770-02-23,TMAX,5.1,41.18,2,ITE
ITE00100554,1770-02-24,TMAX,6.7,44.06,2,ITE
ITE00100554,1770-02-25,TMAX,7.3,45.14,2,ITE
ITE00100554,1770-02-26,TMAX,5.4,41.72,2,ITE
ITE00100554,1770-02-27,TMAX,4.9,40.82,2,ITE
ITE00100554,1770-02-28,TMAX,4.5,40.1,2,ITE
ITE00100554,1770-03-01,TMAX,6.2,43.16,3,ITE
ITE00100554,1770-03-02,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1770-03-03,TMAX,10.5,50.900000000000006,3,ITE
ITE00100554,1770-03-04,TMAX,11.8,53.24,3,ITE
ITE00100554,1770-03-05,TMAX,11.9,53.42,3,ITE
ITE00100554,1770-03-06,TMAX,10.9,51.620000000000005,3,ITE
ITE00100554,1770-03-07,TMAX,9.3,48.74,3,ITE
ITE00100554,1770-03-08,TMAX,9.5,49.1,3,ITE
ITE00100554,1770-03-09,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1770-03-10,TMAX,9.5,49.1,3,ITE
ITE00100554,1770-03-11,TMAX,9.0,48.2,3,ITE
ITE00100554,1770-03-12,TMAX,12.0,53.6,3,ITE
ITE00100554,1770-03-13,TMAX,11.8,53.24,3,ITE
ITE00100554,1770-03-14,TMAX,12.6,54.68,3,ITE
ITE00100554,1770-03-15,TMAX,11.2,52.16,3,ITE
ITE00100554,1770-03-16,TMAX,8.0,46.4,3,ITE
ITE00100554,1770-03-17,TMAX,9.2,48.56,3,ITE
ITE00100554,1770-03-18,TMAX,7.8,46.04,3,ITE
ITE00100554,1770-03-19,TMAX,7.8,46.04,3,ITE
ITE00100554,1770-03-20,TMAX,8.7,47.66,3,ITE
ITE00100554,1770-03-21,TMAX,8.6,47.480000000000004,3,ITE
ITE00100554,1770-03-22,TMAX,9.7,49.46,3,ITE
ITE00100554,1770-03-23,TMAX,9.8,49.64,3,ITE
ITE00100554,1770-03-24,TMAX,10.2,50.36,3,ITE
ITE00100554,1770-03-25,TMAX,8.0,46.4,3,ITE
ITE00100554,1770-03-26,TMAX,9.0,48.2,3,ITE
ITE00100554,1770-03-27,TMAX,8.8,47.84,3,ITE
ITE00100554,1770-03-28,TMAX,9.8,49.64,3,ITE
ITE00100554,1770-03-29,TMAX,10.5,50.900000000000006,3,ITE
ITE00100554,1770-03-30,TMAX,13.1,55.58,3,ITE
ITE00100554,1770-03-31,TMAX,15.9,60.620000000000005,3,ITE
ITE00100554,1770-04-01,TMAX,15.1,59.18,4,ITE
ITE00100554,1770-04-02,TMAX,17.2,62.96,4,ITE
ITE00100554,1770-04-03,TMAX,13.6,56.480000000000004,4,ITE
ITE00100554,1770-04-04,TMAX,14.9,58.82,4,ITE
ITE00100554,1770-04-05,TMAX,15.5,59.900000000000006,4,ITE
ITE00100554,1770-04-06,TMAX,12.2,53.96,4,ITE
ITE00100554,1770-04-07,TMAX,11.6,52.879999999999995,4,ITE
ITE00100554,1770-04-08,TMAX,12.8,55.040000000000006,4,ITE
ITE00100554,1770-04-09,TMAX,12.6,54.68,4,ITE
ITE00100554,1770-04-10,TMAX,12.9,55.22,4,ITE
ITE00100554,1770-04-11,TMAX,11.1,51.980000000000004,4,ITE
ITE00100554,1770-04-12,TMAX,12.9,55.22,4,ITE
ITE00100554,1770-04-13,TMAX,14.2,57.56,4,ITE
ITE00100554,1770-04-14,TMAX,15.9,60.620000000000005,4,ITE
ITE00100554,1770-04-15,TMAX,14.8,58.64,4,ITE
ITE00100554,1770-04-16,TMAX,12.9,55.22,4,ITE
ITE00100554,1770-04-17,TMAX,14.9,58.82,4,ITE
ITE00100554,1770-04-18,TMAX,16.3,61.34,4,ITE
ITE00100554,1770-04-19,TMAX,16.6,61.88,4,ITE
ITE00100554,1770-04-20,TMAX,17.2,62.96,4,ITE
ITE00100554,1770-04-21,TMAX,16.2,61.16,4,ITE
ITE00100554,1770-04-22,TMAX,17.8,64.03999999999999,4,ITE
