station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100550,1866-01-01,TMAX,0.5,32.9,1,ITE
SZ000006717,1866-01-01,TMAX,-7.9,17.78,1,SZ
UK000056225,1866-01-01,TMAX,10.0,50.0,1,UK
ASN00090015,1866-01-01,TMAX,25.0,77.0,1,ASN
CA006148100,1866-01-01,TMAX,0.0,32.0,1,CA
USC00288878,1866-01-01,TMAX,3.3,37.94,1,USC
GM000004204,1866-01-01,TMAX,7.0,44.6,1,GM
AU000005901,1866-01-01,TMAX,-2.1,28.22,1,AU
ASN00066062,1866-01-01,TMAX,26.1,78.98,1,ASN
ITE00100554,1866-01-01,TMAX,3.0,37.4,1,ITE
UK000047811,1866-01-01,TMAX,9.4,48.92,1,UK
GME00125218,1866-01-01,TMAX,5.1,41.18,1,GME
BE000006447,1866-01-01,TMAX,6.1,42.980000000000004,1,BE
CA006110549,1866-01-01,TMAX,1.1,33.98,1,CA
EIE00101859,1866-01-01,TMAX,8.3,46.94,1,EIE
CA006153192,1866-01-01,TMAX,3.9,39.019999999999996,1,CA
CA006158350,1866-01-01,TMAX,2.2,35.96,1,CA
ASN00086071,1866-01-01,TMAX,35.0,95.0,1,ASN
CA006150689,1866-01-01,TMAX,2.8,37.04,1,CA
EZE00100082,1866-01-01,TMAX,0.1,32.18,1,EZE
ASN00066062,1866-01-02,TMAX,31.3,88.34,1,ASN
AU000005901,1866-01-02,TMAX,1.6,34.88,1,AU
GM000004204,1866-01-02,TMAX,4.9,40.82,1,GM
USC00288878,1866-01-02,TMAX,2.2,35.96,1,USC
SZ000006717,1866-01-02,TMAX,-8.0,17.6,1,SZ
ASN00090015,1866-01-02,TMAX,21.1,69.98,1,ASN
UK000056225,1866-01-02,TMAX,8.8,47.84,1,UK
ITE00100554,1866-01-02,TMAX,4.0,39.2,1,ITE
CA006148100,1866-01-02,TMAX,-3.9,24.98,1,CA
EZE00100082,1866-01-02,TMAX,3.4,38.12,1,EZE
UK000047811,1866-01-02,TMAX,8.9,48.019999999999996,1,UK
AGE00135039,1866-01-02,TMAX,13.0,55.400000000000006,1,AGE
CA006150689,1866-01-02,TMAX,-1.1,30.02,1,CA
ASN00086071,1866-01-02,TMAX,20.7,69.25999999999999,1,ASN
CA006158350,1866-01-02,TMAX,-1.1,30.02,1,CA
CA006153192,1866-01-02,TMAX,5.6,42.08,1,CA
ITE00100550,1866-01-02,TMAX,4.0,39.2,1,ITE
EIE00101859,1866-01-02,TMAX,8.9,48.019999999999996,1,EIE
CA006110549,1866-01-02,TMAX,-0.6,30.92,1,CA
BE000006447,1866-01-02,TMAX,7.5,45.5,1,BE
GME00125218,1866-01-02,TMAX,4.4,39.92,1,GME
ITE00100554,1866-01-03,TMAX,5.0,41.0,1,ITE
UK000056225,1866-01-03,TMAX,10.5,50.900000000000006,1,UK
ASN00090015,1866-01-03,TMAX,20.0,68.0,1,ASN
CA006148100,1866-01-03,TMAX,-3.3,26.060000000000002,1,CA
USC00288878,1866-01-03,TMAX,1.7,35.06,1,USC
UK000047811,1866-01-03,TMAX,10.0,50.0,1,UK
GM000004204,1866-01-03,TMAX,5.6,42.08,1,GM
AU000005901,1866-01-03,TMAX,0.3,32.54,1,AU
ASN00066062,1866-01-03,TMAX,21.7,71.06,1,ASN
SZ000006717,1866-01-03,TMAX,-0.6,30.92,1,SZ
EZE00100082,1866-01-03,TMAX,3.7,38.66,1,EZE
AGE00135039,1866-01-03,TMAX,13.0,55.400000000000006,1,AGE
BE000006447,1866-01-03,TMAX,7.7,45.86,1,BE
CA006110549,1866-01-03,TMAX,-1.7,28.94,1,CA
EIE00101859,1866-01-03,TMAX,8.9,48.019999999999996,1,EIE
CA006153192,1866-01-03,TMAX,3.3,37.94,1,CA
CA006158350,1866-01-03,TMAX,0.0,32.0,1,CA
ASN00086071,1866-01-03,TMAX,19.9,67.82,1,ASN
CA006150689,1866-01-03,TMAX,2.8,37.04,1,CA
ITE00100550,1866-01-03,TMAX,3.8,38.84,1,ITE
GME00125218,1866-01-03,TMAX,4.5,40.1,1,GME
ASN00066062,1866-01-04,TMAX,22.9,73.22,1,ASN
AU000005901,1866-01-04,TMAX,1.1,33.98,1,AU
GM000004204,1866-01-04,TMAX,5.4,41.72,1,GM
UK000047811,1866-01-04,TMAX,4.4,39.92,1,UK
ITE00100554,1866-01-04,TMAX,2.4,36.32,1,ITE
CA006148100,1866-01-04,TMAX,-4.4,24.08,1,CA
UK000056225,1866-01-04,TMAX,6.7,44.06,1,UK
SZ000006717,1866-01-04,TMAX,-3.3,26.060000000000002,1,SZ
USC00288878,1866-01-04,TMAX,1.1,33.98,1,USC
EZE00100082,1866-01-04,TMAX,4.0,39.2,1,EZE
ASN00086071,1866-01-04,TMAX,20.7,69.25999999999999,1,ASN
AGE00135039,1866-01-04,TMAX,12.0,53.6,1,AGE
CA006150689,1866-01-04,TMAX,-1.7,28.94,1,CA
GME00125218,1866-01-04,TMAX,5.9,42.620000000000005,1,GME
CA006158350,1866-01-04,TMAX,-5.0,23.0,1,CA
ITE00100550,1866-01-04,TMAX,4.7,40.46,1,ITE
EIE00101859,1866-01-04,TMAX,9.4,48.92,1,EIE
CA006110549,1866-01-04,TMAX,0.0,32.0,1,CA
