station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100554,1774-01-01,TMAX,5.0,41.0,1,ITE
ITE00100554,1774-01-02,TMAX,2.6,36.68,1,ITE
ITE00100554,1774-01-03,TMAX,1.1,33.98,1,ITE
ITE00100554,1774-01-04,TMAX,-0.4,31.28,1,ITE
ITE00100554,1774-01-05,TMAX,-0.4,31.28,1,ITE
ITE00100554,1774-01-06,TMAX,-0.3,31.46,1,ITE
ITE00100554,1774-01-07,TMAX,1.1,33.98,1,ITE
ITE00100554,1774-01-08,TMAX,0.7,33.26,1,ITE
ITE00100554,1774-01-09,TMAX,1.8,35.24,1,ITE
ITE00100554,1774-01-10,TMAX,4.9,40.82,1,ITE
ITE00100554,1774-01-11,TMAX,3.9,39.019999999999996,1,ITE
ITE00100554,1774-01-12,TMAX,3.3,37.94,1,ITE
ITE00100554,1774-01-13,TMAX,5.7,42.26,1,ITE
ITE00100554,1774-01-14,TMAX,6.4,43.52,1,ITE
ITE00100554,1774-01-15,TMAX,4.8,40.64,1,ITE
ITE00100554,1774-01-16,TMAX,5.6,42.08,1,ITE
ITE00100554,1774-01-17,TMAX,5.8,42.44,1,ITE
ITE00100554,1774-01-18,TMAX,5.2,41.36,1,ITE
ITE00100554,1774-01-19,TMAX,3.1,37.58,1,ITE
ITE00100554,1774-01-20,TMAX,3.2,37.76,1,ITE
ITE00100554,1774-01-21,TMAX,3.2,37.76,1,ITE
ITE00100554,1774-01-22,TMAX,1.9,35.42,1,ITE
ITE00100554,1774-01-23,TMAX,1.7,35.06,1,ITE
ITE00100554,1774-01-24,TMAX,1.5,34.7,1,ITE
ITE00100554,1774-01-25,TMAX,-0.4,31.28,1,ITE
ITE00100554,1774-01-26,TMAX,-3.7,25.34,1,ITE
ITE00100554,1774-01-27,TMAX,-1.6,29.12,1,ITE
ITE00100554,1774-01-28,TMAX,-1.1,30.02,1,ITE
ITE00100554,1774-01-29,TMAX,3.4,38.12,1,ITE
ITE00100554,1774-01-30,TMAX,2.1,35.78,1,ITE
ITE00100554,1774-01-31,TMAX,2.8,37.04,1,ITE
ITE00100554,1774-02-01,TMAX,2.4,36.32,2,ITE
ITE00100554,1774-02-02,TMAX,1.9,35.42,2,ITE
ITE00100554,1774-02-03,TMAX,3.9,39.019999999999996,2,ITE
ITE00100554,1774-02-04,TMAX,4.6,40.28,2,ITE
ITE00100554,1774-02-05,TMAX,3.9,39.019999999999996,2,ITE
ITE00100554,1774-02-06,TMAX,2.9,37.22,2,ITE
ITE00100554,1774-02-07,TMAX,4.7,40.46,2,ITE
ITE00100554,1774-02-08,TMAX,4.8,40.64,2,ITE
ITE00100554,1774-02-09,TMAX,3.9,39.019999999999996,2,ITE
ITE00100554,1774-02-10,TMAX,1.9,35.42,2,ITE
ITE00100554,1774-02-11,TMAX,-0.7,30.74,2,ITE
ITE00100554,1774-02-12,TMAX,4.8,40.64,2,ITE
ITE00100554,1774-02-13,TMAX,4.7,40.46,2,ITE
ITE00100554,1774-02-14,TMAX,5.7,42.26,2,ITE
ITE00100554,1774-02-15,TMAX,6.4,43.52,2,ITE
ITE00100554,1774-02-16,TMAX,6.1,42.980000000000004,2,ITE
ITE00100554,1774-02-17,TMAX,7.1,44.78,2,ITE
ITE00100554,1774-02-18,TMAX,6.2,43.16,2,ITE
ITE00100554,1774-02-19,TMAX,8.6,47.480000000000004,2,ITE
ITE00100554,1774-02-20,TMAX,7.2,44.96,2,ITE
ITE00100554,1774-02-21,TMAX,8.6,47.480000000000004,2,ITE
ITE00100554,1774-02-22,TMAX,8.4,47.120000000000005,2,ITE
ITE00100554,1774-02-23,TMAX,8.2,46.76,2,ITE
ITE00100554,1774-02-24,TMAX,7.6,45.68,2,ITE
ITE00100554,1774-02-25,TMAX,7.2,44.96,2,ITE
ITE00100554,1774-02-26,TMAX,8.4,47.120000000000005,2,ITE
ITE00100554,1774-02-27,TMAX,8.0,46.4,2,ITE
ITE00100554,1774-02-28,TMAX,9.2,48.56,2,ITE
ITE00100554,1774-03-01,TMAX,7.6,45.68,3,ITE
ITE00100554,1774-03-02,TMAX,8.0,46.4,3,ITE
ITE00100554,1774-03-03,TMAX,8.0,46.4,3,ITE
ITE00100554,1774-03-04,TMAX,9.0,48.2,3,ITE
ITE00100554,1774-03-05,TMAX,8.0,46.4,3,ITE
ITE00100554,1774-03-06,TMAX,9.7,49.46,3,ITE
ITE00100554,1774-03-07,TMAX,10.5,50.900000000000006,3,ITE
ITE00100554,1774-03-08,TMAX,10.4,50.72,3,ITE
ITE00100554,1774-03-09,TMAX,13.0,55.400000000000006,3,ITE
ITE00100554,1774-03-10,TMAX,13.0,55.400000000000006,3,ITE
ITE00100554,1774-03-11,TMAX,11.8,53.24,3,ITE
ITE00100554,1774-03-12,TMAX,12.4,54.32,3,ITE
ITE00100554,1774-03-13,TMAX,14.7,58.46,3,ITE
ITE00100554,1774-03-14,TMAX,11.5,52.7,3,ITE
ITE00100554,1774-03-15,TMAX,9.1,48.379999999999995,3,ITE
ITE00100554,1774-03-16,TMAX,9.3,48.74,3,ITE
ITE00100554,1774-03-17,TMAX,7.1,44.78,3,ITE
ITE00100554,1774-03-18,TMAX,10.3,50.540000000000006,3,ITE
ITE00100554,1774-03-19,TMAX,10.9,51.620000000000005,3,ITE
ITE00100554,1774-03-20,TMAX,12.6,54.68,3,ITE
ITE00100554,1774-03-21,TMAX,13.6,56.480000000000004,3,ITE
ITE00100554,1774-03-22,TMAX,13.3,55.94,3,ITE
ITE00100554,1774-03-23,TMAX,14.6,58.28,3,ITE
ITE00100554,1774-03-24,TMAX,12.3,54.14,3,ITE
ITE00100554,1774-03-25,TMAX,12.1,53.78,3,ITE
ITE00100554,1774-03-26,TMAX,12.1,53.78,3,ITE
