station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100554,1764-01-01,TMAX,6.4,43.52,1,ITE
ITE00100554,1764-01-02,TMAX,4.6,40.28,1,ITE
ITE00100554,1764-01-03,TMAX,5.9,42.620000000000005,1,ITE
ITE00100554,1764-01-04,TMAX,5.9,42.620000000000005,1,ITE
ITE00100554,1764-01-05,TMAX,2.3,36.14,1,ITE
ITE00100554,1764-01-06,TMAX,3.9,39.019999999999996,1,ITE
ITE00100554,1764-01-07,TMAX,5.2,41.36,1,ITE
ITE00100554,1764-01-08,TMAX,6.9,44.42,1,ITE
ITE00100554,1764-01-09,TMAX,4.0,39.2,1,ITE
ITE00100554,1764-01-10,TMAX,2.5,36.5,1,ITE
ITE00100554,1764-01-11,TMAX,3.2,37.76,1,ITE
ITE00100554,1764-01-12,TMAX,4.9,40.82,1,ITE
ITE00100554,1764-01-13,TMAX,4.0,39.2,1,ITE
ITE00100554,1764-01-14,TMAX,3.7,38.66,1,ITE
ITE00100554,1764-01-15,TMAX,2.1,35.78,1,ITE
ITE00100554,1764-01-16,TMAX,2.6,36.68,1,ITE
ITE00100554,1764-01-17,TMAX,2.0,35.6,1,ITE
ITE00100554,1764-01-18,TMAX,3.2,37.76,1,ITE
ITE00100554,1764-01-19,TMAX,3.5,38.3,1,ITE
ITE00100554,1764-01-20,TMAX,2.7,36.86,1,ITE
ITE00100554,1764-01-21,TMAX,4.4,39.92,1,ITE
ITE00100554,1764-01-22,TMAX,2.8,37.04,1,ITE
ITE00100554,1764-01-23,TMAX,3.9,39.019999999999996,1,ITE
ITE00100554,1764-01-24,TMAX,2.1,35.78,1,ITE
ITE00100554,1764-01-25,TMAX,2.8,37.04,1,ITE
ITE00100554,1764-01-26,TMAX,3.3,37.94,1,ITE
ITE00100554,1764-01-27,TMAX,3.4,38.12,1,ITE
ITE00100554,1764-01-28,TMAX,3.5,38.3,1,ITE
ITE00100554,1764-01-29,TMAX,6.5,43.7,1,ITE
ITE00100554,1764-01-30,TMAX,5.9,42.620000000000005,1,ITE
ITE00100554,1764-01-31,TMAX,3.7,38.66,1,ITE
ITE00100554,1764-02-01,TMAX,5.0,41.0,2,ITE
ITE00100554,1764-02-02,TMAX,4.7,40.46,2,ITE
ITE00100554,1764-02-03,TMAX,6.1,42.980000000000004,2,ITE
ITE00100554,1764-02-04,TMAX,6.1,42.980000000000004,2,ITE
ITE00100554,1764-02-05,TMAX,9.2,48.56,2,ITE
ITE00100554,1764-02-06,TMAX,7.4,45.32,2,ITE
ITE00100554,1764-02-07,TMAX,6.9,44.42,2,ITE
ITE00100554,1764-02-08,TMAX,7.5,45.5,2,ITE
ITE00100554,1764-02-09,TMAX,8.7,47.66,2,ITE
ITE00100554,1764-02-10,TMAX,8.4,47.120000000000005,2,ITE
ITE00100554,1764-02-11,TMAX,7.7,45.86,2,ITE
ITE00100554,1764-02-12,TMAX,9.2,48.56,2,ITE
ITE00100554,1764-02-13,TMAX,8.2,46.76,2,ITE
ITE00100554,1764-02-14,TMAX,7.2,44.96,2,ITE
ITE00100554,1764-02-15,TMAX,5.7,42.26,2,ITE
ITE00100554,1764-02-16,TMAX,5.6,42.08,2,ITE
ITE00100554,1764-02-17,TMAX,5.6,42.08,2,ITE
ITE00100554,1764-02-18,TMAX,8.3,46.94,2,ITE
ITE00100554,1764-02-19,TMAX,9.2,48.56,2,ITE
ITE00100554,1764-02-20,TMAX,9.6,49.28,2,ITE
ITE00100554,1764-02-21,TMAX,14.8,58.64,2,ITE
ITE00100554,1764-02-22,TMAX,10.9,51.620000000000005,2,ITE
ITE00100554,1764-02-23,TMAX,10.8,51.44,2,ITE
ITE00100554,1764-02-24,TMAX,11.1,51.980000000000004,2,ITE
ITE00100554,1764-02-25,TMAX,5.9,42.620000000000005,2,ITE
ITE00100554,1764-02-26,TMAX,5.7,42.26,2,ITE
ITE00100554,1764-02-27,TMAX,10.5,50.900000000000006,2,ITE
ITE00100554,1764-02-28,TMAX,6.4,43.52,2,ITE
ITE00100554,1764-02-29,TMAX,7.0,44.6,2,ITE
ITE00100554,1764-03-01,TMAX,7.8,46.04,3,ITE
ITE00100554,1764-03-02,TMAX,7.6,45.68,3,ITE
ITE00100554,1764-03-03,TMAX,7.0,44.6,3,ITE
ITE00100554,1764-03-04,TMAX,8.5,47.3,3,ITE
ITE00100554,1764-03-05,TMAX,9.3,48.74,3,ITE
ITE00100554,1764-03-06,TMAX,7.6,45.68,3,ITE
ITE00100554,1764-03-07,TMAX,7.5,45.5,3,ITE
ITE00100554,1764-03-08,TMAX,5.4,41.72,3,ITE
ITE00100554,1764-03-09,TMAX,4.2,39.56,3,ITE
ITE00100554,1764-03-10,TMAX,4.8,40.64,3,ITE
ITE00100554,1764-03-11,TMAX,8.4,47.120000000000005,3,ITE
ITE00100554,1764-03-12,TMAX,8.0,46.4,3,ITE
